Date,ID,Stoping_Actual_t,Stoping_Actual_gpt,Stoping_Actual_kgs,Stoping_Budget_t,Stoping_Budget_gpt,Stoping_Budget_kgs
2025-07-07,3L_W23B STOPE,100.0,2.02,0.202,70.0,1.9859813084112148,0.13901869158878502
2025-07-07,3L_W24B STOPE,72.0,3.16,0.22752,70.0,1.8271028037383175,0.12789719626168222
2025-07-07,4L_W26 STOPE,44.0,2.15,0.09459999999999999,70.0,1.9462616822429906,0.13623831775700931
2025-07-07,5L_W11 STOPE,52.0,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-07,5L_W8 STOPE,61.0,2.32,0.14151999999999998,,,
2025-07-07,6L_E1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-07,6L_W1 STOPE,120.0,4.22,0.5064,70.0,3.137850467289719,0.21964953271028034
2025-07-07,6L_W14 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-07,6L_W15_STOPE,44.0,2.6,0.1144,70.0,1.7476635514018692,0.12233644859813084
2025-07-07,6L_W2 STOPE,140.0,,0.3738,105.0,,0.24189252336448594
2025-07-07,6L_W3 STOPE,70.0,2.33,0.1631,70.0,2.9,0.203
2025-07-07,6L_W4 STOPE,72.0,3.84,0.27648,70.0,2.3831775700934577,0.16682242990654203
2025-07-07,6L_W8 STOPE,,,,35.0,2.462616822429906,0.08619158878504672
2025-07-08,1L W28 STOPE,,,,70.0,1.350467289719626,0.09453271028037381
2025-07-08,3L_W23A STOPE,48.0,3.53,0.16944,70.0,1.9859813084112148,0.13901869158878502
2025-07-08,3L_W23B STOPE,80.0,3.13,0.25039999999999996,70.0,1.9859813084112148,0.13901869158878502
2025-07-08,3L_W24B STOPE,37.0,1.91,0.07067,70.0,1.8271028037383175,0.12789719626168222
2025-07-08,4L_W26 STOPE,76.0,1.36,0.10336000000000001,70.0,1.9462616822429906,0.13623831775700931
2025-07-08,5L_W11 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-08,5L_W8 STOPE,178.0,2.53,0.45033999999999996,,,
2025-07-08,6L_E1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-08,6L_W1 STOPE,144.0,3.89,0.56016,70.0,3.137850467289719,0.21964953271028034
2025-07-08,6L_W14 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-08,6L_W15_STOPE,48.0,1.63,0.07823999999999999,70.0,1.7476635514018692,0.12233644859813084
2025-07-08,6L_W2 STOPE,186.0,,0.67518,105.0,,0.24189252336448594
2025-07-08,6L_W3 STOPE,75.0,,,70.0,2.9,0.203
2025-07-08,6L_W4 STOPE,95.0,2.71,0.25745,70.0,2.3831775700934577,0.16682242990654203
2025-07-08,6L_W8 STOPE,,,,35.0,2.462616822429906,0.08619158878504672
2025-07-09,1L W28 STOPE,,,,70.0,1.350467289719626,0.09453271028037381
2025-07-09,3L_W23A STOPE,45.0,2.38,0.1071,70.0,1.9859813084112148,0.13901869158878502
2025-07-09,3L_W23B STOPE,89.0,2.77,0.24653,70.0,1.9859813084112148,0.13901869158878502
2025-07-09,3L_W24B STOPE,70.0,0.29,0.0203,70.0,1.8271028037383175,0.12789719626168222
2025-07-09,4L_W26 STOPE,52.0,0.14,0.007280000000000001,70.0,1.9462616822429906,0.13623831775700931
2025-07-09,5L_W11 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-09,5L_W8 STOPE,80.0,1.24,0.0992,,,
2025-07-09,6L_E1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-09,6L_W1 STOPE,144.0,6.13,0.8827200000000001,70.0,3.137850467289719,0.21964953271028034
2025-07-09,6L_W14 STOPE,58.0,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-09,6L_W15_STOPE,48.0,0.18,0.00864,70.0,1.7476635514018692,0.12233644859813084
2025-07-09,6L_W2 STOPE,,,,105.0,,0.24189252336448594
2025-07-09,6L_W3 STOPE,72.0,0.8,0.0576,70.0,2.9,0.203
2025-07-09,6L_W4 STOPE,94.0,0.31,0.02914,70.0,2.3831775700934577,0.16682242990654203
2025-07-09,6L_W8 STOPE,,,,35.0,2.462616822429906,0.08619158878504672
2025-07-10,1L W28 STOPE,,,,70.0,1.350467289719626,0.09453271028037381
2025-07-10,3L_W23A STOPE,82.0,3.79,0.31078000000000006,70.0,1.9859813084112148,0.13901869158878502
2025-07-10,3L_W23B STOPE,70.0,2.41,0.16870000000000002,70.0,1.9859813084112148,0.13901869158878502
2025-07-10,3L_W24B STOPE,49.0,4.4,0.2156,70.0,1.8271028037383175,0.12789719626168222
2025-07-10,4L_W26 STOPE,46.0,0.79,0.036340000000000004,70.0,1.9462616822429906,0.13623831775700931
2025-07-10,5L_W11 STOPE,84.0,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-10,5L_W8 STOPE,42.0,0.62,0.02604,,,
2025-07-10,6L_E1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-10,6L_W1 STOPE,57.0,3.81,0.21717000000000003,70.0,3.137850467289719,0.21964953271028034
2025-07-10,6L_W14 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-10,6L_W15_STOPE,123.0,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-10,6L_W2 STOPE,189.0,,0.68607,105.0,,0.24189252336448594
2025-07-10,6L_W3 STOPE,,,,70.0,2.9,0.203
2025-07-10,6L_W4 STOPE,150.0,2.43,0.3645,70.0,2.3831775700934577,0.16682242990654203
2025-07-10,6L_W8 STOPE,,,,35.0,2.462616822429906,0.08619158878504672
2025-07-11,1L W28 STOPE,,,,70.0,1.350467289719626,0.09453271028037381
2025-07-11,3L_W23A STOPE,92.0,3.18,0.29256,70.0,1.9859813084112148,0.13901869158878502
2025-07-11,3L_W23B STOPE,87.0,1.63,0.14181,70.0,1.9859813084112148,0.13901869158878502
2025-07-11,3L_W24B STOPE,38.0,,,70.0,1.8271028037383175,0.12789719626168222
2025-07-11,4L_W26 STOPE,84.0,0.3,0.0252,70.0,1.9462616822429906,0.13623831775700931
2025-07-11,5L_W11 STOPE,40.0,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-11,5L_W8 STOPE,60.0,0.54,0.032400000000000005,,,
2025-07-11,6L_E1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
