DATE,LEVEL,SECTION,Unnamed: 3,LOCATION,SAMPLE TYPE,DISTANCE FROM PEG(m),DIRECTION,PEG ID,DEPTH (m),FROM,TO,SAMPLE WIDTH,SAMPLE ID,AU,STOPE .AV,SAMPLER,GEOTECH,Unnamed: 18,is_qaqc,ID
2025-08-01,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,,1,2.0,1.0,MM905243,3.29,4.57825,,,,False,6L_W4_SBL2_East
2025-08-01,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,,2,3.0,1.0,MM905244,2.996,4.57825,,,,False,6L_W4_SBL2_East
2025-08-01,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,STD 0660 3.16g/t,,,1.0,MM905245,0,4.57825,,,,True,6L_W4_SBL2_East
2025-08-01,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,,3,4.0,1.0,MM905246,4.24,4.57825,,,,False,6L_W4_SBL2_East
2025-08-01,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,19,0,1.0,1.0,MM905247,4.16,4.57825,,,,False,6L_W4_SBL2_East
2025-08-01,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,,1,2.0,1.0,MM905248,5.13,4.57825,,,,False,6L_W4_SBL2_East
2025-08-01,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,,2,3.0,1.0,MM905249,7.19,4.57825,,,,False,6L_W4_SBL2_East
2025-08-01,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,FDUP,,,1.0,MM905250,7.13,4.57825,,,,True,6L_W4_SBL2_East
2025-08-01,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,,3,4.0,1.0,MM905251,6.9,4.57825,,,,False,6L_W4_SBL2_East
2025-08-01,6L,W2,,SBL2,FLCH,2.0,West,W2_OP,18.2,0,1.0,1.0,MM905252,13.39,9.714,,,,False,6L_W2_SBL2_West
2025-08-01,6L,W2,,SBL2,FLCH,2.0,West,W2_OP,,1,2.0,1.0,MM905253,17.52,9.714,,,,False,6L_W2_SBL2_West
2025-08-01,6L,W2,,SBL2,FLCH,2.0,West,W2_OP,,0,1.0,1.0,MM905254,6.894,9.714,,,,False,6L_W2_SBL2_West
2025-08-01,6L,W2,,SBL2,FLCH,2.0,West,W2_OP,BLANK,,,1.0,MM905255,3.21,9.714,,,,True,6L_W2_SBL2_West
2025-08-01,6L,W2,,SBL2,FLCH,2.0,West,W2_OP,,1,2.0,1.0,MM905256,6.69,9.714,,,,False,6L_W2_SBL2_West
2025-08-01,6L,W2,,SBL2,FLCH,2.0,West,W2_OP,,0,1.0,1.0,MM905257,6.83,9.714,,,,False,6L_W2_SBL2_West
2025-08-01,6L,W2,,SBL2,FLCH,2.0,West,W2_OP,,1,2.0,1.0,MM905258,6.96,9.714,,,,False,6L_W2_SBL2_West
2025-08-01,6L,E1,B,SBL1,FLCH,1.0,East,E1_OP,,0,1.0,1.0,MM905259,1.32,1.7095000000000002,,,,False,6L_E1_B_SBL1_East
2025-08-01,6L,E1,B,SBL1,FLCH,1.0,East,E1_OP,,1,2.0,1.0,MM905260,2.099,1.7095000000000002,,,,False,6L_E1_B_SBL1_East
2025-08-02,5L,W12,,CON-DRV,SCH,11.0,South,W12_OP,,0,1.0,1.0,MM907001,17.13,5.5579,,,,False,5L_W12_CON-DRV_South
