Date,ID,Stoping_Actual_t,Stoping_Actual_gpt,Stoping_Actual_kgs,Stoping_Budget_t,Stoping_Budget_gpt,Stoping_Budget_kgs
2025-08-08,6L_W15_STOPE,68.0,3.56,0.24208000000000002,70.0,1.7476635514018692,0.12233644859813084
2025-08-08,6L_W18_STOPE,32.0,3.65,0.1168,70.0,2.7803738317757007,0.19462616822429904
2025-08-08,6L_W2 STOPE,97.0,,0.3492,140.0,,0.3558878504672897
2025-08-08,6L_W3 STOPE,83.0,4.38,0.36354,105.0,2.3831775700934577,0.25023364485981303
2025-08-08,6L_W8 STOPE,28.0,4.28,0.11984,105.0,2.7803738317757007,0.2919392523364486
2025-08-09,3L_W23A STOPE,,,,35.0,1.9859813084112148,0.06950934579439251
2025-08-09,3L_W23B STOPE,125.0,0.48,0.06,70.0,1.9859813084112148,0.13901869158878502
2025-08-09,4L_W26 STOPE,86.0,2.32,0.19951999999999998,70.0,1.9462616822429906,0.13623831775700931
2025-08-09,5L_W11 STOPE,121.0,0.36,0.043559999999999995,70.0,1.7476635514018692,0.12233644859813084
2025-08-09,5L_W8 STOPE,80.0,4.12,0.3296,105.0,1.8271028037383175,0.19184579439252333
2025-08-09,6L_E1 STOPE,40.0,5.06,0.20239999999999997,35.0,3.137850467289719,0.10982476635514017
2025-08-09,6L_W13 STOPE,40.0,4.37,0.1748,35.0,1.9859813084112148,0.06950934579439251
2025-08-09,6L_W15_STOPE,66.0,3.06,0.20196,70.0,1.7476635514018692,0.12233644859813084
2025-08-09,6L_W18_STOPE,47.0,3.83,0.18001,70.0,2.7803738317757007,0.19462616822429904
2025-08-09,6L_W2 STOPE,120.0,,0.6072,140.0,,0.3558878504672897
2025-08-09,6L_W3 STOPE,50.0,5.8,0.29,105.0,2.3831775700934577,0.25023364485981303
2025-08-09,6L_W8 STOPE,70.0,2.91,0.20370000000000002,105.0,2.7803738317757007,0.2919392523364486
2025-08-10,3L_W23A STOPE,,,,35.0,1.9859813084112148,0.06950934579439251
2025-08-10,3L_W23B STOPE,121.0,0.48,0.05808,70.0,1.9859813084112148,0.13901869158878502
2025-08-10,4L_W26 STOPE,82.0,2.32,0.19024,70.0,1.9462616822429906,0.13623831775700931
2025-08-10,5L_W11 STOPE,123.0,0.36,0.04428,70.0,1.7476635514018692,0.12233644859813084
2025-08-10,5L_W8 STOPE,79.0,4.12,0.32548,105.0,1.8271028037383175,0.19184579439252333
2025-08-10,6L_E1 STOPE,51.0,5.06,0.25806,35.0,3.137850467289719,0.10982476635514017
2025-08-10,6L_W13 STOPE,52.0,4.37,0.22724,35.0,1.9859813084112148,0.06950934579439251
2025-08-10,6L_W15_STOPE,36.0,3.06,0.11016,70.0,1.7476635514018692,0.12233644859813084
2025-08-10,6L_W18_STOPE,36.0,3.83,0.13788,70.0,2.7803738317757007,0.19462616822429904
2025-08-10,6L_W2 STOPE,61.0,,0.30866,140.0,,0.3558878504672897
2025-08-10,6L_W3 STOPE,120.0,5.8,0.696,105.0,2.3831775700934577,0.25023364485981303
2025-08-10,6L_W4 STOPE,36.0,,,,,
2025-08-10,6L_W8 STOPE,66.0,2.91,0.19206,105.0,2.7803738317757007,0.2919392523364486
2025-08-11,3L_W23B STOPE,122.0,3.02,0.36844,,,
2025-08-11,4L_W26 STOPE,80.0,1.7,0.136,,,
2025-08-11,5L_W11 STOPE,123.0,1.22,0.15006,,,
2025-08-11,5L_W8 STOPE,84.0,2.99,0.25116000000000005,,,
2025-08-11,6L_E1 STOPE,24.0,4.18,0.10031999999999999,,,
2025-08-11,6L_W13 STOPE,81.0,4.51,0.36531,,,
2025-08-11,6L_W15_STOPE,43.0,4.74,0.20382000000000003,,,
2025-08-11,6L_W2 STOPE,98.0,,0.58212,,,
2025-08-11,6L_W3 STOPE,126.0,5.47,0.6892199999999999,,,
2025-08-11,6L_W4 STOPE,71.0,5.47,0.38837,,,
2025-08-11,6L_W8 STOPE,96.0,6.05,0.5808,,,
2025-08-12,3L_W23B STOPE,121.0,1.41,0.17060999999999998,,,
2025-08-12,4L_W26 STOPE,78.0,0.15,0.011699999999999999,,,
2025-08-12,5L_W11 STOPE,127.0,1.99,0.25273,,,
2025-08-12,5L_W8 STOPE,83.0,3.06,0.25398000000000004,,,
2025-08-12,6L_E1 STOPE,40.0,1.35,0.054,,,
2025-08-12,6L_W13 STOPE,40.0,2.3,0.092,,,
2025-08-12,6L_W18_STOPE,44.0,2.49,0.10956,,,
2025-08-12,6L_W2 STOPE,170.0,,0.4759999999999999,,,
2025-08-12,6L_W3 STOPE,102.0,2.8,0.28559999999999997,,,
2025-08-12,6L_W4 STOPE,66.0,1.87,0.12342,,,
2025-08-12,6L_W8 STOPE,99.0,1.19,0.11780999999999998,,,
2025-08-13,3L_W23A STOPE,,,,35.0,1.9859813084112148,0.06950934579439251
2025-08-13,3L_W23B STOPE,121.0,1.47,0.17787,70.0,1.9859813084112148,0.13901869158878502
2025-08-13,4L_W26 STOPE,77.0,1.23,0.09470999999999999,70.0,1.9462616822429906,0.13623831775700931
2025-08-13,5L_W11 STOPE,123.0,1.11,0.13653,70.0,1.7476635514018692,0.12233644859813084
2025-08-13,5L_W8 STOPE,107.0,3.99,0.42693000000000003,105.0,1.8271028037383175,0.19184579439252333
2025-08-13,6L_E1 STOPE,36.0,2.47,0.08892,35.0,3.137850467289719,0.10982476635514017
2025-08-13,6L_W13 STOPE,40.0,1.08,0.0432,35.0,1.9859813084112148,0.06950934579439251
2025-08-13,6L_W15_STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-08-13,6L_W18_STOPE,31.0,2.51,0.07780999999999999,70.0,2.7803738317757007,0.19462616822429904
2025-08-13,6L_W2 STOPE,185.0,,1.2099000000000002,140.0,,0.3558878504672897
2025-08-13,6L_W3 STOPE,57.0,1.17,0.06669,105.0,2.3831775700934577,0.25023364485981303
2025-08-13,6L_W4 STOPE,84.0,1.07,0.08988000000000002,,,
2025-08-13,6L_W8 STOPE,84.0,1.5,0.126,105.0,2.7803738317757007,0.2919392523364486
2025-08-14,3L_W23A STOPE,,,,35.0,1.9859813084112148,0.06950934579439251
2025-08-14,3L_W23B STOPE,104.0,4.48,0.46592000000000006,70.0,1.9859813084112148,0.13901869158878502
2025-08-14,4L_W26 STOPE,70.0,1.92,0.13440000000000002,70.0,1.9462616822429906,0.13623831775700931
2025-08-14,5L_W11 STOPE,105.0,3.1,0.3255,70.0,1.7476635514018692,0.12233644859813084
2025-08-14,5L_W8 STOPE,103.0,2.2,0.22660000000000002,105.0,1.8271028037383175,0.19184579439252333
2025-08-14,6L_E1 STOPE,25.0,3.7,0.0925,35.0,3.137850467289719,0.10982476635514017
2025-08-14,6L_W13 STOPE,54.0,7.0,0.378,35.0,1.9859813084112148,0.06950934579439251
2025-08-14,6L_W15_STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-08-14,6L_W18_STOPE,38.0,2.14,0.08132,70.0,2.7803738317757007,0.19462616822429904
2025-08-14,6L_W2 STOPE,180.0,,0.5382,140.0,,0.3558878504672897
2025-08-14,6L_W3 STOPE,117.0,1.53,0.17901,105.0,2.3831775700934577,0.25023364485981303
2025-08-14,6L_W4 STOPE,52.0,1.53,0.07956,,,
