Date,ID,Tramming_Actual_t,Tramming_Actual_gpt,Tramming_Actual_kgs,Tramming_Budget_t,Tramming_Budget_gpt,Tramming_Budget_kgs
2025-08-08,6L_W18_STOPE,42.0,1.51,0.06342,70.0,2.7803738317757007,0.19462616822429904
2025-08-08,6L_W2 STOPE,102.0,2.31,0.23562,140.0,2.542056074766355,0.3558878504672897
2025-08-08,6L_W3 STOPE,111.0,3.35,0.37185,105.0,2.3831775700934577,0.25023364485981303
2025-08-08,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-08,6L_W8 STOPE,15.0,2.9,0.0435,105.0,2.7803738317757007,0.2919392523364486
2025-08-09,3L_W23A STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-09,3L_W23B STOPE,,,0.0,70.0,1.9859813084112148,0.13901869158878502
2025-08-09,3L_W24B STOPE,,,0.0,0.0,0.0,0
2025-08-09,4L_W26 STOPE,216.0,2.59,0.5594399999999999,70.0,1.9462616822429906,0.13623831775700931
2025-08-09,5L_W11 STOPE,99.0,3.68,0.36432,70.0,1.7476635514018692,0.12233644859813084
2025-08-09,5L_W8 STOPE,79.0,2.27,0.17933000000000002,105.0,1.8271028037383175,0.19184579439252333
2025-08-09,6L_E1 STOPE,116.0,5.3,0.6147999999999999,35.0,3.137850467289719,0.10982476635514017
2025-08-09,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-09,6L_W13 STOPE,15.0,4.39,0.06584999999999999,35.0,1.9859813084112148,0.06950934579439251
2025-08-09,6L_W15_STOPE,,,0.0,70.0,1.7476635514018692,0.12233644859813084
2025-08-09,6L_W18_STOPE,18.0,3.6,0.0648,70.0,2.7803738317757007,0.19462616822429904
2025-08-09,6L_W2 STOPE,129.0,1.45,0.18705,140.0,2.542056074766355,0.3558878504672897
2025-08-09,6L_W3 STOPE,93.0,,0.0,105.0,2.3831775700934577,0.25023364485981303
2025-08-09,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-09,6L_W8 STOPE,60.0,4.87,0.2922,105.0,2.7803738317757007,0.2919392523364486
2025-08-10,3L_W23A STOPE,,,0.0,35.0,1.9859813084112148,0.06950934579439251
2025-08-10,3L_W23B STOPE,,,0.0,70.0,1.9859813084112148,0.13901869158878502
2025-08-10,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
